LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3213200401 - GMP BANDUNG - OFFICE,3213200401,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 1,"25,255.24",AKTIF,,,ID001883
3213200401A - GMP BANDUNG - OFFICE,3213200401A,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,"6,792.27",AKTIF,,,ID001884
3213200901 - RUMDIN WASTUKENCANA - OFFICE,3213200901,RUMDIN WASTUKENCANA,JAWA BARAT,TR3,"JL. WASTUKENCANA NO. 45, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,717.17,AKTIF,,,ID001898
3213202501 - PLASA / WITEL BANDUNG / STO LEMBONG - OFFICE,3213202501,PLASA / WITEL BANDUNG / STO LEMBONG,JAWA BARAT,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,"7,476.58",AKTIF,,,ID001928
3213200203 - KANTOR CICADAS - OFFICE,3213200203,KANTOR CICADAS,JAWA BARAT,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,466.02,AKTIF,,,ID001880
3213200204 - STO CICADAS - POP ETC,3213200204,STO CICADAS,JAWA BARAT,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",POP ETC,KOTA BANDUNG,BANDUNG,KELAS 3,252.95,AKTIF,,,ID001881
3213200301 - DIVA KEBON WARU - OFFICE,3213200301,DIVA KEBON WARU,JAWA BARAT,TR3,"JL. KEBON WARU UTARA NO. 17, RT. 01/08, KEL. KACAPIRING, KEC. BATUNUNGGAL, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,278.13,AKTIF,,,ID001882
3213200401B - GMP BANDUNG - OFFICE,3213200401B,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,"3,554.45",AKTIF,,,ID001885
3213200401C - GMP BANDUNG - POP ETC,3213200401C,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",POP ETC,KOTA BANDUNG,BANDUNG,KELAS 3,438.51,AKTIF,,,ID001886
3213201901 - TELKOM ACI GD. B - OFFICE,3213201901,TELKOM ACI GD. B,JAWA BARAT,TR3,"JL. KAPTEN TENDEAN NO.1 RT.002/RW.008, KEL.HEGARMANAH, KEC.CIDADAP, KOTA BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,390.38,AKTIF,,,ID001921
