LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2133200101 - WITEL BEKASI - OFFICE,2133200101,WITEL BEKASI,JAWA BARAT,TR2,"JL. RAWA TEMBAGA NO. 4, KEL. MARGA JAYA, KEC. BEKASI SELATAN, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 2,"3,279.73",AKTIF,,,ID001387
2133200102 - GUDANG WITEL BEKASI - GUDANG,2133200102,GUDANG WITEL BEKASI,JAWA BARAT,TR2,"JL. RAWA TEMBAGA NO. 4, KEL. MARGA JAYA, KEC. BEKASI SELATAN, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,290.72,AKTIF,,,ID001388
2133200103 - GEDUNG KOSONG WITEL BEKASI - IDLE,2133200103,GEDUNG KOSONG WITEL BEKASI,JAWA BARAT,TR2,"JL. RAWA TEMBAGA NO. 4, KEL. MARGA JAYA, KEC. BEKASI SELATAN, BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,167.53,AKTIF,,,ID001389
2133200104 - WITEL BEKASI - UTILITY,2133200104,WITEL BEKASI,JAWA BARAT,TR2,"JL. RAWA TEMBAGA NO. 4, KEL. MARGA JAYA, KEC. BEKASI SELATAN, BEKASI KOTA",UTILITY,KOTA BEKASI,BEKASI,KELAS 5,180.00,AKTIF,,,ID001390
2133200201 - PLASA / OPMC CIBITUNG - OFFICE,2133200201,PLASA / OPMC CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 3,"1,570.16",AKTIF,,,ID001391
2133200202 - GUDANG STO CIBITUNG - GUDANG,2133200202,GUDANG STO CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,432.92,AKTIF,,,ID001392
2133200203 - GEDUNG KOSONG STO CIBITUNG - IDLE,2133200203,GEDUNG KOSONG STO CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",IDLE,KAB. BEKASI,BEKASI,KELAS 4,492.51,AKTIF,,,ID001393
2133200204 - OPMC CIBITUNG - OFFICE,2133200204,OPMC CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 3,"2,048.30",AKTIF,,,ID001394
2133200205 - GUDANG OPMC CIBITUNG - GUDANG,2133200205,GUDANG OPMC CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,103.04,AKTIF,,,ID001395
2133200206 - OPMC CIBITUNG - UTILITY,2133200206,OPMC CIBITUNG,JAWA BARAT,TR2,"JL. RAYA SETU NO. 27, CIBITUNG, KAB. BEKASI",UTILITY,KAB. BEKASI,BEKASI,KELAS 5,76.20,AKTIF,,,ID001396
2133200501 - STO BABELAN - OFFICE,2133200501,STO BABELAN,JAWA BARAT,TR2,"JL. PERJUANGAN NO. 5, RT. 04/01, KEL. KEBALEN, KEC. BABELAN, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,670.00,AKTIF,,,ID001397
2133200502 - GUDANG STO BABELAN - GUDANG,2133200502,GUDANG STO BABELAN,JAWA BARAT,TR2,"JL. PERJUANGAN NO. 5, RT. 04/01, KEL. KEBALEN, KEC. BABELAN, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,36.00,AKTIF,,,ID001398
2133200503 - HALAMAN STO BABELAN - HALAMAN,2133200503,HALAMAN STO BABELAN,JAWA BARAT,TR2,"JL. PERJUANGAN NO. 5, RT. 04/01, KEL. KEBALEN, KEC. BABELAN, BEKASI KOTA",HALAMAN,KOTA BEKASI,BEKASI,KELAS 6,"1,195.59",AKTIF,,,ID001399
2133200601 - STO BANTAR GEBANG - OFFICE,2133200601,STO BANTAR GEBANG,JAWA BARAT,TR2,"JL. TELKOM / MACEM NO. 1, RT. 09/04, KEL. PADURENAN, KEC. MUSTIKA JAYA, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,262.62,AKTIF,,,ID001400
2133200602 - HALAMAN STO BANTAR GEBANG - HALAMAN,2133200602,HALAMAN STO BANTAR GEBANG,JAWA BARAT,TR2,"JL. TELKOM / MACEM NO. 1, RT. 09/04, KEL. PADURENAN, KEC. MUSTIKA JAYA, BEKASI KOTA",HALAMAN,KOTA BEKASI,BEKASI,KELAS 6,600.27,AKTIF,,,ID001401
2133200701 - STO JUANDA BEKASI - OFFICE,2133200701,STO JUANDA BEKASI,JAWA BARAT,TR2,"JL. IR. JUANDA NO.104, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 3,"1,735.93",AKTIF,,,ID001402
2133200702 - GUDANG STO JUANDA BEKASI - GUDANG,2133200702,GUDANG STO JUANDA BEKASI,JAWA BARAT,TR2,"JL. IR. JUANDA NO.104, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,54.38,AKTIF,,,ID001403
2133200801 - STO CABANG BUNGIN - OFFICE,2133200801,STO CABANG BUNGIN,JAWA BARAT,TR2,"JL. RAYA TAPAK SERANG, RT. 06/03, KEL. LENGGAH JAYA, KEC. CABANG BUNGIN, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,641.38,AKTIF,,,ID001404
2133200802 - GUDANG STO CABANG BUNGIN - GUDANG,2133200802,GUDANG STO CABANG BUNGIN,JAWA BARAT,TR2,"JL. RAYA TAPAK SERANG, RT. 06/03, KEL. LENGGAH JAYA, KEC. CABANG BUNGIN, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,48.00,AKTIF,,,ID001405
2133200901 - STO CIBARUSAH - OFFICE,2133200901,STO CIBARUSAH,JAWA BARAT,TR2,"KAMPUNG CIGUTUL, RT. 007/003, KEL. SINDANG MULYA, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,449.63,AKTIF,,,ID001406
2133200902 - GUDANG STO CIBARUSAH - GUDANG,2133200902,GUDANG STO CIBARUSAH,JAWA BARAT,TR2,"KAMPUNG CIGUTUL, RT. 007/003, KEL. SINDANG MULYA, KAB. BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,72.00,AKTIF,,,ID001407
2133200903 - GEDUNG KOSONG STO CIBARUSAH - IDLE,2133200903,GEDUNG KOSONG STO CIBARUSAH,JAWA BARAT,TR2,"KAMPUNG CIGUTUL, RT. 007/003, KEL. SINDANG MULYA, KAB. BEKASI",IDLE,KAB. BEKASI,BEKASI,KELAS 4,117.67,AKTIF,,,ID001408
2133201001 - STO CIKARANG - OFFICE,2133201001,STO CIKARANG,JAWA BARAT,TR2,"JL. HOS COKROAMINOTO NO. 4, RT. 01/05, KEL. KALIJAYA, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,517.97,AKTIF,,,ID001409
2133201002 - GUDANG STO CIKARANG - GUDANG,2133201002,GUDANG STO CIKARANG,JAWA BARAT,TR2,"JL. HOS COKROAMINOTO NO. 4, RT. 01/05, KEL. KALIJAYA, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,11.85,AKTIF,,,ID001410
2133201003 - GEDUNG KOSONG STO CIKARANG - IDLE,2133201003,GEDUNG KOSONG STO CIKARANG,JAWA BARAT,TR2,"JL. HOS COKROAMINOTO NO. 4, RT. 01/05, KEL. KALIJAYA, BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,487.59,AKTIF,,,ID001411
2133201101 - STO EJIP - OFFICE,2133201101,STO EJIP,JAWA BARAT,TR2,"JL. PLOT 34, KEL. SUKARESMI, KEC. CIKARANG SELATAN,BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,178.84,AKTIF,,,ID001412
2133201102 - GEDUNG KOSONG STO EJIP - IDLE,2133201102,GEDUNG KOSONG STO EJIP,JAWA BARAT,TR2,"JL. PLOT 34, KEL. SUKARESMI, KEC. CIKARANG SELATAN,BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,52.50,AKTIF,,,ID001413
2133201201 - STO GANDA MEKAR / DANAU INDAH - OFFICE,2133201201,STO GANDA MEKAR / DANAU INDAH,JAWA BARAT,TR2,"JL. JAWA KAWASAN INDUSTRI MM 2100, KEC. CIKARANG BARAT, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,629.70,AKTIF,,,ID001414
2133201202 - GUDANG GANDA MEKAR - GUDANG,2133201202,GUDANG GANDA MEKAR,JAWA BARAT,TR2,"JL. JAWA KAWASAN INDUSTRI MM 2100, KEC. CIKARANG BARAT, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,18.00,AKTIF,,,ID001415
2133201203 - GEDUNG KOSONG GANDA MEKAR - IDLE,2133201203,GEDUNG KOSONG GANDA MEKAR,JAWA BARAT,TR2,"JL. JAWA KAWASAN INDUSTRI MM 2100, KEC. CIKARANG BARAT, BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,526.80,AKTIF,,,ID001416
2133201301 - STO JABABEKA - OFFICE,2133201301,STO JABABEKA,JAWA BARAT,TR2,"JL. JABABEKA I, KEC. CIKARANG UTARA, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 4,737.00,AKTIF,,,ID001417
2133201302 - GEDUNG KOSONG JABABEKA - IDLE,2133201302,GEDUNG KOSONG JABABEKA,JAWA BARAT,TR2,"JL. JABABEKA I, KEC. CIKARANG UTARA, BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,228.00,AKTIF,,,ID001418
2133201401 - STO KALI ABANG - OFFICE,2133201401,STO KALI ABANG,JAWA BARAT,TR2,"JL. KALI ABANG NO. 1, RT. 06/04, KEL. KALI ABANG TENGAH, KEC. BEKASI UTARA, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 3,"2,492.61",AKTIF,,,ID001419
2133201402 - GUDANG STO KALI ABANG - GUDANG,2133201402,GUDANG STO KALI ABANG,JAWA BARAT,TR2,"JL. KALI ABANG NO. 1, RT. 06/04, KEL. KALI ABANG TENGAH, KEC. BEKASI UTARA, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,31.50,AKTIF,,,ID001420
2133201501 - STO KRANJI - OFFICE,2133201501,STO KRANJI,JAWA BARAT,TR2,"JL. PEMUDA NO. 27, KEL. KRANJI, KEC. BEKASI BARAT, BEKASI KOTA",OFFICE,KOTA BEKASI,BEKASI,KELAS 3,"1,637.99",AKTIF,,,ID001421
2133201502 - GUDANG STO KRANJI - GUDANG,2133201502,GUDANG STO KRANJI,JAWA BARAT,TR2,"JL. PEMUDA NO. 27, KEL. KRANJI, KEC. BEKASI BARAT, BEKASI KOTA",GUDANG,KOTA BEKASI,BEKASI,KELAS 5,54.53,AKTIF,,,ID001422
2133201503 - GEDUNG KOSONG STO KRANJI - IDLE,2133201503,GEDUNG KOSONG STO KRANJI,JAWA BARAT,TR2,"JL. PEMUDA NO. 27, KEL. KRANJI, KEC. BEKASI BARAT, BEKASI KOTA",IDLE,KOTA BEKASI,BEKASI,KELAS 4,9.98,AKTIF,,,ID001423
2133201601 - STO LEMAH ABANG - OFFICE,2133201601,STO LEMAH ABANG,JAWA BARAT,TR2,"JL. RAYA LEMAH ABANG, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,417.50,AKTIF,,,ID001424
2133201602 - GEDUNG KOSONG LEMAH ABANG - IDLE,2133201602,GEDUNG KOSONG LEMAH ABANG,JAWA BARAT,TR2,"JL. RAYA LEMAH ABANG, KAB. BEKASI",IDLE,KAB. BEKASI,BEKASI,KELAS 4,215.50,AKTIF,,,ID001425
2133201603 - HALAMAN STO LEMAH ABANG - HALAMAN,2133201603,HALAMAN STO LEMAH ABANG,JAWA BARAT,TR2,"JL. RAYA LEMAH ABANG, KAB. BEKASI",HALAMAN,KAB. BEKASI,BEKASI,KELAS 6,791.25,AKTIF,,,ID001426
2133201701 - STO MUARA GEMBONG - OFFICE,2133201701,STO MUARA GEMBONG,JAWA BARAT,TR2,"JL. RAYA MUARA GEMBONG, RT. 012/006, KEL. PANTAI MEKAR, KEC. MUARA GEMBONG, KAB.BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,637.00,AKTIF,,,ID001427
2133201702 - GUDANG STO MUARA GEMBONG - GUDANG,2133201702,GUDANG STO MUARA GEMBONG,JAWA BARAT,TR2,"JL. RAYA MUARA GEMBONG, RT. 012/006, KEL. PANTAI MEKAR, KEC. MUARA GEMBONG, KAB.BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,58.50,AKTIF,,,ID001428
2133201703 - HALAMAN STO MUARA GEMBONG - HALAMAN,2133201703,HALAMAN STO MUARA GEMBONG,JAWA BARAT,TR2,"JL. RAYA MUARA GEMBONG, RT. 012/006, KEL. PANTAI MEKAR, KEC. MUARA GEMBONG, KAB.BEKASI",HALAMAN,KAB. BEKASI,BEKASI,KELAS 6,"1,380.39",AKTIF,,,ID001429
2133201801 - STO PEBAYURAN - OFFICE,2133201801,STO PEBAYURAN,JAWA BARAT,TR2,"JL.RAYA PEBAYURAN, RT.004 / 002, KERTASARI PEBAYURAN, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,636.00,AKTIF,,,ID001430
2133201802 - GUDANG STO PEBAYURAN - GUDANG,2133201802,GUDANG STO PEBAYURAN,JAWA BARAT,TR2,"JL.RAYA PEBAYURAN, RT.004 / 002, KERTASARI PEBAYURAN, KAB. BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,54.00,AKTIF,,,ID001431
2133201803 - HALAMAN STO PEBAYURAN - HALAMAN,2133201803,HALAMAN STO PEBAYURAN,JAWA BARAT,TR2,"JL.RAYA PEBAYURAN, RT.004 / 002, KERTASARI PEBAYURAN, KAB. BEKASI",HALAMAN,KAB. BEKASI,BEKASI,KELAS 6,986.35,AKTIF,,,ID001432
2133201901 - STO PEKAYON - OFFICE,2133201901,STO PEKAYON,JAWA BARAT,TR2,"JL. PULO RIBUNG RAYA NO. 2, KEL. PEKAYON JAYA, KEC. BEKASI SELATAN, KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,"1,005.30",AKTIF,,,ID001433
2133202001 - STO PONDOK GEDE - OFFICE,2133202001,STO PONDOK GEDE,DKI JAKARTA,TR2,"JL. RAYA JATI MAKMUR, PONDOK GEDE, JAKARTA TIMUR KOTA",OFFICE,KOTA JAKARTA TIMUR,BEKASI,KELAS 4,574.52,AKTIF,,,ID001434
2133202002 - HALAMAN STO PONDOK GEDE - HALAMAN,2133202002,HALAMAN STO PONDOK GEDE,DKI JAKARTA,TR2,"JL. RAYA JATI MAKMUR, PONDOK GEDE, JAKARTA TIMUR KOTA",HALAMAN,KOTA JAKARTA TIMUR,BEKASI,KELAS 6,610.37,AKTIF,,,ID001435
2133202101 - STO SUKAMAHI - OFFICE,2133202101,STO SUKAMAHI,JAWA BARAT,TR2,"KOMPLEK DELTA MAS, JL. SUKAMAHI, CIKARANG PUSAT KAB. BEKASI",OFFICE,KAB. BEKASI,BEKASI,KELAS 4,484.50,AKTIF,,,ID001436
2133202102 - GUDANG SUKAMAHI - GUDANG,2133202102,GUDANG SUKAMAHI,JAWA BARAT,TR2,"KOMPLEK DELTA MAS, JL. SUKAMAHI, CIKARANG PUSAT KAB. BEKASI",GUDANG,KAB. BEKASI,BEKASI,KELAS 5,72.00,AKTIF,,,ID001437
2133202103 - GEDUNG KOSONG SUKAMAHI - IDLE,2133202103,GEDUNG KOSONG SUKAMAHI,JAWA BARAT,TR2,"KOMPLEK DELTA MAS, JL. SUKAMAHI, CIKARANG PUSAT KAB. BEKASI",IDLE,KAB. BEKASI,BEKASI,KELAS 4,115.50,AKTIF,,,ID001438
