label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3223200902 - GEDUNG KOSONG BATUJAJAR - IDLE,3223200902,GEDUNG KOSONG BATUJAJAR,JAWA BARAT,BANDUNG,TR3,"JL. RAYA BATUJAJAR NO. 91, RT. 01/07, KEL. GIRI ASIH, KEC. BATUJAJAR, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,112.42,AKTIF,,,ID001986
3223201001 - STO CICALENGKA - OFFICE,3223201001,STO CICALENGKA,JAWA BARAT,BANDUNG,TR3,"JL. DIPATI UKUR NO. 37, KEL. CICALENGKA, KEC. CICALENGKA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,320.48,AKTIF,,,ID001987
3223201002 - GEDUNG KOSONG CICALENGKA - IDLE,3223201002,GEDUNG KOSONG CICALENGKA,JAWA BARAT,BANDUNG,TR3,"JL. DIPATI UKUR NO. 37, KEL. CICALENGKA, KEC. CICALENGKA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,84.11,AKTIF,,,ID001988
3223201101 - STO CIHALIWUNG - OFFICE,3223201101,STO CIHALIWUNG,JAWA BARAT,BANDUNG,TR3,"JL. CIHALIWUNG NO. 1, KEL. KERTAMULYA, KEC. PADALARANG, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,85.07,AKTIF,,,ID001989
3223201102 - GEDUNG KOSONG CIHALIWUNG - IDLE,3223201102,GEDUNG KOSONG CIHALIWUNG,JAWA BARAT,BANDUNG,TR3,"JL. CIHALIWUNG NO. 1, KEL. KERTAMULYA, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,85.61,AKTIF,,,ID001990
3223201201 - STO CIKALONG WETAN - OFFICE,3223201201,STO CIKALONG WETAN,JAWA BARAT,BANDUNG,TR3,"JL.RAYA PURWAKARTA NO. 501, CIKALONG WETAN",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,175.21,AKTIF,,,ID001991
3223201301 - STO CILILIN - OFFICE,3223201301,STO CILILIN,JAWA BARAT,BANDUNG,TR3,"JL. CILILIN SINDANG KERTA KM. 5,RT. 04/02, KEL. MUKA PAYUNG, KEC. CILILIN, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,207.32,AKTIF,,,ID001992
3223201302 - GEDUNG KOSONG CILILIN - IDLE,3223201302,GEDUNG KOSONG CILILIN,JAWA BARAT,BANDUNG,TR3,"JL. CILILIN SINDANG KERTA KM. 5,RT. 04/02, KEL. MUKA PAYUNG, KEC. CILILIN, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,15.79,AKTIF,,,ID001993
3223201303 - HALAMAN STO CILILIN - HALAMAN,3223201303,HALAMAN STO CILILIN,JAWA BARAT,BANDUNG,TR3,"JL. CILILIN SINDANG KERTA KM. 5,RT. 04/02, KEL. MUKA PAYUNG, KEC. CILILIN, KAB. BANDUNG BARAT",HALAMAN,KAB. BANDUNG BARAT,BANDUNG,KELAS 6,452.80,AKTIF,,,ID001994
3223201401 - STO CIMAHI - OFFICE,3223201401,STO CIMAHI,JAWA BARAT,BANDUNG,TR3,"JL. AMIR MAHMUD NO. 127, KEL. KARANG MEKAR, KEC. CIMAHI TENGAH, CIMAHI KOTA",OFFICE,KOTA CIMAHI,BANDUNG,KELAS 4,408.62,AKTIF,,,ID001995
3223201402 - GEDUNG KOSONG STO CIMAHI - IDLE,3223201402,GEDUNG KOSONG STO CIMAHI,JAWA BARAT,BANDUNG,TR3,"JL. AMIR MAHMUD NO. 127, KEL. KARANG MEKAR, KEC. CIMAHI TENGAH, CIMAHI KOTA",IDLE,KOTA CIMAHI,BANDUNG,KELAS 4,71.66,AKTIF,,,ID001996
3223201403 - GUDANG STO CIMAHI - GUDANG,3223201403,GUDANG STO CIMAHI,JAWA BARAT,BANDUNG,TR3,"JL. AMIR MAHMUD NO. 127, KEL. KARANG MEKAR, KEC. CIMAHI TENGAH, CIMAHI KOTA",GUDANG,KOTA CIMAHI,BANDUNG,KELAS 5,98.66,AKTIF,,,ID001997
3223201501 - STO CIPATAT - OFFICE,3223201501,STO CIPATAT,JAWA BARAT,BANDUNG,TR3,"JL. CIPATAT KM 33 NO. 006, RT. 01/11, KEL. CIPATAT, KEC. CIPATAT, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,219.89,AKTIF,,,ID001998
3223201601 - STO CISARUA - OFFICE,3223201601,STO CISARUA,JAWA BARAT,BANDUNG,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,346.31,AKTIF,,,ID001999
3223201701 - STO CIWIDEY - OFFICE,3223201701,STO CIWIDEY,JAWA BARAT,BANDUNG,TR3,"JL. BHAYANGKARA NO. 9, RT. 01/15, KEL. CIWIDEY, KEC. CIWIDEY, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,269.98,AKTIF,,,ID002000
3223201702 - GUDANG CIWIDEY - GUDANG,3223201702,GUDANG CIWIDEY,JAWA BARAT,BANDUNG,TR3,"JL. BHAYANGKARA NO. 9, RT. 01/15, KEL. CIWIDEY, KEC. CIWIDEY, KAB. BANDUNG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,39.85,AKTIF,,,ID002001
3223201703 - GEDUNG KOSONG CIWIDEY - IDLE,3223201703,GEDUNG KOSONG CIWIDEY,JAWA BARAT,BANDUNG,TR3,"JL. BHAYANGKARA NO. 9, RT. 01/15, KEL. CIWIDEY, KEC. CIWIDEY, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,6.65,AKTIF,,,ID002002
3223201801 - STO GUNUNG HALU - OFFICE,3223201801,STO GUNUNG HALU,JAWA BARAT,BANDUNG,TR3,"JL. RAYA GUNUNG HALU, KEL. SIRNA JAYA, KEC. GUNUNG HALU, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,63.67,AKTIF,,,ID002003
3223201901 - STO LEMBANG - OFFICE,3223201901,STO LEMBANG,JAWA BARAT,BANDUNG,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,310.13,AKTIF,,,ID002004
3223201902 - GUDANG LEMBANG - GUDANG,3223201902,GUDANG LEMBANG,JAWA BARAT,BANDUNG,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",GUDANG,KAB. BANDUNG BARAT,BANDUNG,KELAS 5,19.63,AKTIF,,,ID002005
3223201903 - STO LEMBANG - UTILITY,3223201903,STO LEMBANG,JAWA BARAT,BANDUNG,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",UTILITY,KAB. BANDUNG BARAT,BANDUNG,KELAS 5,236.40,AKTIF,,,ID002006
3223202001 - STO MAJALAYA - OFFICE,3223202001,STO MAJALAYA,JAWA BARAT,BANDUNG,TR3,"JL. LASWI NO. 137, RT. 03/04, KEL. KEL.SUKAMAJU, KEC. MAJALAYA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,313.99,AKTIF,,,ID002007
3223202002 - GEDUNG KOSONG MAJALAYA - IDLE,3223202002,GEDUNG KOSONG MAJALAYA,JAWA BARAT,BANDUNG,TR3,"JL. LASWI NO. 137, RT. 03/04, KEL. KEL.SUKAMAJU, KEC. MAJALAYA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,65.92,AKTIF,,,ID002008
3223202003 - GUDANG MAJALAYA - GUDANG,3223202003,GUDANG MAJALAYA,JAWA BARAT,BANDUNG,TR3,"JL. LASWI NO. 137, RT. 03/04, KEL. KEL.SUKAMAJU, KEC. MAJALAYA, KAB. BANDUNG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,18.69,AKTIF,,,ID002009
3223202101 - STO NANJUNG - OFFICE,3223202101,STO NANJUNG,JAWA BARAT,BANDUNG,TR3,"JL. MENCUT NO. 2, RT. 03/03, KEL. RAGADAR, KEC. MARGA ASIH, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,503.95,AKTIF,,,ID002010
3223202201 - PLASA / STO RANCAEKEK - OFFICE,3223202201,PLASA / STO RANCAEKEK,JAWA BARAT,BANDUNG,TR3,"JL. RAYA BANDUNG - GARUT KM 20,9, RT. 03/01, KEL. BOJONG LOA, KEC. RANCAEKEK, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,205.75,AKTIF,,,ID002011
3223202202 - GEDUNG KOSONG RANCAEKEK - IDLE,3223202202,GEDUNG KOSONG RANCAEKEK,JAWA BARAT,BANDUNG,TR3,"JL. RAYA BANDUNG - GARUT KM 20,9, RT. 03/01, KEL. BOJONG LOA, KEC. RANCAEKEK, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,233.71,AKTIF,,,ID002012
3223202301 - PLASA / STO SOREANG - OFFICE,3223202301,PLASA / STO SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,266.56,AKTIF,,,ID002013
3223202302 - GUDANG SOREANG - GUDANG,3223202302,GUDANG SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,8.89,AKTIF,,,ID002014
3223202303 - GEDUNG KOSONG SOREANG - IDLE,3223202303,GEDUNG KOSONG SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,150.68,AKTIF,,,ID002015
3223202304 - HALAMAN STO SOREANG - HALAMAN,3223202304,HALAMAN STO SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",HALAMAN,KAB. BANDUNG,BANDUNG,KELAS 6,865.00,AKTIF,,,ID002016
3223202602 - STO BOJONGWARU - UTILITY,3223202602,STO BOJONGWARU,JAWA BARAT,BANDUNG,TR3,"BOJONG MULYASARI RT.001 RW.04,PANGALENGAN KAB. BANDUNG",UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,257.02,AKTIF,,,ID002017
3223202603 - GUDANG BOJONGWARU - GUDANG,3223202603,GUDANG BOJONGWARU,JAWA BARAT,BANDUNG,TR3,"BOJONG MULYASARI RT.001 RW.04,PANGALENGAN KAB. BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,43.95,AKTIF,,,ID002018
3223202801 - MESS PALAPA SOREANG - OFFICE,3223202801,MESS PALAPA SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,61.46,AKTIF,,,ID002019
3223202802 - GUDANG MESS PALAPA SOREANG - GUDANG,3223202802,GUDANG MESS PALAPA SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,275.27,AKTIF,,,ID002020
3223202803 - GEDUNG KOSONG PALAPA SOREANG - IDLE,3223202803,GEDUNG KOSONG PALAPA SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,507.70,AKTIF,,,ID002021
3223202804 - MESS PALAPA SOREANG - UTILITY,3223202804,MESS PALAPA SOREANG,JAWA BARAT,BANDUNG,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",UTILITY,KAB. BANDUNG,BANDUNG,KELAS 5,"1,018.30",AKTIF,,,ID002022
3213205201A - STO / PLASA GEGER KALONG - IDLE,3213205201A,STO / PLASA GEGER KALONG,JAWA BARAT,BANDUNG,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,60.42,AKTIF,,,ID004812
3223200301A - PLASA / EKS CATEL PADALARANG - IDLE,3223200301A,PLASA / EKS CATEL PADALARANG,JAWA BARAT,BANDUNG,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,183.48,AKTIF,,,ID004813
3213200102 - PLASA SUPRATMAN - OFFICE,3213200102,PLASA SUPRATMAN,JAWA BARAT,BANDUNG,TR3,"JL. SUPRATMAN NO. 62 , RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,201.62,AKTIF,,,ID001874
3213200103 - GUDANG PLASA SUPRATMAN - GUDANG,3213200103,GUDANG PLASA SUPRATMAN,JAWA BARAT,BANDUNG,TR3,"JL. SUPRATMAN NO. 62 , RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,114.61,AKTIF,,,ID001875
3213200104 - GEDUNG KOSONG PLASA SUPRATMAN - IDLE,3213200104,GEDUNG KOSONG PLASA SUPRATMAN,JAWA BARAT,BANDUNG,TR3,"JL. SUPRATMAN NO. 66 A, RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,883.61,AKTIF,,,ID001876
3213200105 - HALAMAN PLASA TELKOM SUPRATMAN - HALAMAN,3213200105,HALAMAN PLASA TELKOM SUPRATMAN,JAWA BARAT,BANDUNG,TR3,"JL. SUPRATMAN NO. 62 , RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",HALAMAN,KOTA BANDUNG,BANDUNG,KELAS 6,"1,632.37",AKTIF,,,ID001877
3213200201 - GUDANG ARNET AHMAD YANI - GUDANG,3213200201,GUDANG ARNET AHMAD YANI,JAWA BARAT,BANDUNG,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,20.84,AKTIF,,,ID001878
3213200202 - ARNET AHMAD YANI - OFFICE,3213200202,ARNET AHMAD YANI,JAWA BARAT,BANDUNG,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,339.60,AKTIF,,,ID001879
3213200203 - KANTOR CICADAS - OFFICE,3213200203,KANTOR CICADAS,JAWA BARAT,BANDUNG,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,466.02,AKTIF,,,ID001880
3213200204 - STO CICADAS - POP ETC,3213200204,STO CICADAS,JAWA BARAT,BANDUNG,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",POP ETC,KOTA BANDUNG,BANDUNG,KELAS 3,252.95,AKTIF,,,ID001881
3213200301 - DIVA KEBON WARU - OFFICE,3213200301,DIVA KEBON WARU,JAWA BARAT,BANDUNG,TR3,"JL. KEBON WARU UTARA NO. 17, RT. 01/08, KEL. KACAPIRING, KEC. BATUNUNGGAL, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,278.13,AKTIF,,,ID001882
2143200101 - PLASA / WITEL BOGOR - OFFICE,2143200101,PLASA / WITEL BOGOR,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",OFFICE,KOTA BOGOR,PRIANGAN BARAT,KELAS 2,"9,791.41",AKTIF,,,ID001452
2143200102 - GUDANG WITEL BOGOR - GUDANG,2143200102,GUDANG WITEL BOGOR,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",GUDANG,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,"1,801.97",AKTIF,,,ID001453
2143200103 - GEDUNG KOSONG WITEL BOGOR - IDLE,2143200103,GEDUNG KOSONG WITEL BOGOR,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",IDLE,KOTA BOGOR,PRIANGAN BARAT,KELAS 4,518.05,AKTIF,,,ID001454
2143200104 - WITEL BOGOR - UTILITY,2143200104,WITEL BOGOR,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",UTILITY,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,280.10,AKTIF,,,ID001455
2143200201 - MSC CIBINONG - OFFICE,2143200201,MSC CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA NAROGONG KM. 26,5, KELAPA NUNGGAL, CILEUNGSI, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,"1,243.07",AKTIF,,,ID001456
2143200202 - GUDANG MSC CIBINONG - GUDANG,2143200202,GUDANG MSC CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA NAROGONG KM. 26,5, KELAPA NUNGGAL, CILEUNGSI, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,860.85,AKTIF,,,ID001457
2143200301 - PLASA CIBINONG - OFFICE,2143200301,PLASA CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,"2,063.09",AKTIF,,,ID001458
2143200302 - GUDANG PLASA CIBINONG - GUDANG,2143200302,GUDANG PLASA CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,152.10,AKTIF,,,ID001459
2143200303 - GEDUNG KOSONG PLASA CIBINONG - IDLE,2143200303,GEDUNG KOSONG PLASA CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,350.25,AKTIF,,,ID001460
2143200304 - PLASA CIBINONG - UTILITY,2143200304,PLASA CIBINONG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,85.20,AKTIF,,,ID001461
2143200401 - GEDUNG KOSONG PLASA DEPOK BEJI - IDLE,2143200401,GEDUNG KOSONG PLASA DEPOK BEJI,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",IDLE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,317.52,AKTIF,,,ID001462
2143200402 - PLASA DEPOK - UTILITY,2143200402,PLASA DEPOK,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",UTILITY,KOTA DEPOK,PRIANGAN BARAT,KELAS 5,39.60,AKTIF,,,ID001463
2143200403 - HALAMAN PLASA DEPOK - HALAMAN,2143200403,HALAMAN PLASA DEPOK,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",HALAMAN,KOTA DEPOK,PRIANGAN BARAT,KELAS 6,"1,376.00",AKTIF,,,ID001464
2143200501 - PLASA PARUNG - OFFICE,2143200501,PLASA PARUNG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,275.59,AKTIF,,,ID001465
2143200502 - GEDUNG KOSONG PLASA PARUNG - IDLE,2143200502,GEDUNG KOSONG PLASA PARUNG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,192.42,AKTIF,,,ID001466
2143200503 - PLASA PARUNG - UTILITY,2143200503,PLASA PARUNG,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,44.44,AKTIF,,,ID001467
2143200601 - SROM GUNUNG GEULIS - OFFICE,2143200601,SROM GUNUNG GEULIS,JAWA BARAT,PRIANGANBARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,187.16,AKTIF,,,ID001468
2143200602 - GUDANG SROM GUNUNG GEULIS - GUDANG,2143200602,GUDANG SROM GUNUNG GEULIS,JAWA BARAT,PRIANGANBARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,46.27,AKTIF,,,ID001469
2143200603 - GEDUNG KOSONG GUNUNG GEULIS - IDLE,2143200603,GEDUNG KOSONG GUNUNG GEULIS,JAWA BARAT,PRIANGANBARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,191.55,AKTIF,,,ID001470
2143200604 - SROM GUNUNG GEULIS - UTILITY,2143200604,SROM GUNUNG GEULIS,JAWA BARAT,PRIANGANBARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,29.54,AKTIF,,,ID001471
2143200605 - HALAMAN SROM GUNUNG GEULIS - HALAMAN,2143200605,HALAMAN SROM GUNUNG GEULIS,JAWA BARAT,PRIANGANBARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"4,576.87",AKTIF,,,ID001472
2143200701 - STO BOGOR CENTRUM - OFFICE,2143200701,STO BOGOR CENTRUM,JAWA BARAT,PRIANGANBARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",OFFICE,KOTA BOGOR,PRIANGAN BARAT,KELAS 3,"3,658.52",AKTIF,,,ID001473
2143200702 - GUDANG BOGOR CENTRUM - GUDANG,2143200702,GUDANG BOGOR CENTRUM,JAWA BARAT,PRIANGANBARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",GUDANG,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,223.13,AKTIF,,,ID001474
2143200703 - GEDUNG KOSONG BOGOR CENTRUM - IDLE,2143200703,GEDUNG KOSONG BOGOR CENTRUM,JAWA BARAT,PRIANGANBARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",IDLE,KOTA BOGOR,PRIANGAN BARAT,KELAS 4,107.26,AKTIF,,,ID001475
2143200704 - STO BOGOR CENTRUM - POP ETC,2143200704,STO BOGOR CENTRUM,JAWA BARAT,PRIANGANBARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",POP ETC,KOTA BOGOR,PRIANGAN BARAT,KELAS 3,115.26,AKTIF,,,ID001476
2143200801 - STO BOJONG GEDE - OFFICE,2143200801,STO BOJONG GEDE,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",OFFICE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,545.84,AKTIF,,,ID001477
2143200802 - GUDANG BOJONG GEDE - GUDANG,2143200802,GUDANG BOJONG GEDE,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",GUDANG,KOTA DEPOK,PRIANGAN BARAT,KELAS 5,53.08,AKTIF,,,ID001478
2143200803 - HALAMAN STO BOJONG GEDE - HALAMAN,2143200803,HALAMAN STO BOJONG GEDE,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA CITAYAM, DS. RAWA PANJANG, RT 001 / 001, KEC. BOJONG GEDE, DEPOK KOTA",HALAMAN,KOTA DEPOK,PRIANGAN BARAT,KELAS 6,"2,079.05",AKTIF,,,ID001479
2143200901 - STO CARINGIN - OFFICE,2143200901,STO CARINGIN,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,860.33,AKTIF,,,ID001480
2143200902 - GUDANG CARINGIN - GUDANG,2143200902,GUDANG CARINGIN,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,78.00,AKTIF,,,ID001481
2143200903 - GEDUNG KOSONG CARINGIN - IDLE,2143200903,GEDUNG KOSONG CARINGIN,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,13.63,AKTIF,,,ID001482
2143200904 - HALAMAN STO CARINGIN - HALAMAN,2143200904,HALAMAN STO CARINGIN,JAWA BARAT,PRIANGANBARAT,TR2,"JL. RAYA SUKABUMI KM. 17 / JL. H. EDI SUKMA, KAMP. BITUNG RATNA, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,997.00",AKTIF,,,ID001483
2143201001 - STO CARIU - OFFICE,2143201001,STO CARIU,JAWA BARAT,PRIANGANBARAT,TR2,"JL. CARIU - CIANJUR, KAMP. TANGGULUN, KEL. CARIU, KEC. CARIU, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,581.01,AKTIF,,,ID001484
